,vector,neighbors,degree,visited,option
1st Stage,,,,,
,1,"['4', '2', '2', '4', '2', '4', '4', '2', '2', '4', '4', '2', '4', '2', '2', '4', '2', '4', '4', '2', '4', '2', '2', '4', '4', '2', '2', '4', '2', '4', '4', '2', '2', '4', '4', '2', '4', '2', '2', '4', '4', '2', '2', '4', '2', '4', '4', '2', '4', '2', '2', '4', '2', '4', '4', '2', '2', '4', '4', '2', '4', '2', '2', '4']",64,False,X
,2,"['1', '5', '5', '1', '5', '1', '1', '5', '5', '1', '1', '5', '1', '5', '5', '1', '5', '1', '1', '5', '1', '5', '5', '1', '1', '5', '5', '1', '5', '1', '1', '5', '5', '1', '1', '5', '1', '5', '5', '1', '1', '5', '5', '1', '5', '1', '1', '5', '1', '5', '5', '1', '5', '1', '1', '5', '5', '1', '1', '5', '1', '5', '5', '1']",64,False,
,5,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
,4,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
2nd Stage,,,,,
,1,"['4', '2', '2', '4', '2', '4', '4', '2', '2', '4', '4', '2', '4', '2', '2', '4', '2', '4', '4', '2', '4', '2', '2', '4', '4', '2', '2', '4', '2', '4', '4', '2', '2', '4', '4', '2', '4', '2', '2', '4', '4', '2', '2', '4', '2', '4', '4', '2', '4', '2', '2', '4', '2', '4', '4', '2', '2', '4', '4', '2', '4', '2', '2', '4']",64,True,
,2,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",32,False,X
,5,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
,4,[],0,True,
