,vector,neighbors,degree,visited,option
1st Stage,,,,,
,7,"['2', '3', '3', '2', '3', '2', '2', '3', '3', '2', '2', '3', '2', '3', '3', '2', '3', '2', '2', '3', '2', '3', '3', '2', '2', '3', '3', '2', '3', '2', '2', '3', '3', '2', '2', '3', '2', '3', '3', '2', '2', '3', '3', '2', '3', '2', '2', '3', '2', '3', '3', '2', '3', '2', '2', '3', '3', '2', '2', '3', '2', '3', '3', '2']",64,False,
,6,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",32,False,
,2,"['8', '7', '7', '8', '7', '8', '8', '7', '7', '8', '8', '7', '8', '7', '7', '8', '7', '8', '8', '7', '8', '7', '7', '8', '8', '7', '7', '8', '7', '8', '8', '7', '7', '8', '8', '7', '8', '7', '7', '8', '8', '7', '7', '8', '7', '8', '8', '7', '8', '7', '7', '8', '7', '8', '8', '7', '7', '8', '8', '7', '8', '7', '7', '8']",64,False,
,5,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",32,False,
,3,"['7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7']",96,False,X
,8,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
2nd Stage,,,,,
,7,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
,6,[],0,True,
,2,"['8', '7', '7', '8', '7', '8', '8', '7', '7', '8', '8', '7', '8', '7', '7', '8', '7', '8', '8', '7', '8', '7', '7', '8', '8', '7', '7', '8', '7', '8', '8', '7', '7', '8', '8', '7', '8', '7', '7', '8', '8', '7', '7', '8', '7', '8', '8', '7', '8', '7', '7', '8', '7', '8', '8', '7', '7', '8', '8', '7', '8', '7', '7', '8']",64,False,X
,5,[],0,True,
,3,"['7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7', '6', '5', '7', '7', '6', '5', '6', '5', '7', '7', '6', '5', '7', '6', '5', '6', '5', '7']",96,True,
,8,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
